priority_tier,total_score,volume_score,pipeline_need_score,ci_need_score,technology_gap_score,market_access_score,epm,plant_name,owner,city,state,status,capacity_mgy,capacity_mgy_used_for_scoring,estimated_fermentation_co2_mt_per_year,latest_available_ci_scores,pipeline_ccs_status,ccs_committed_flag,technology_flags,nearest_market,nearest_market_miles,market_access_note,rationale,tier_reason
High,86.8,12,25,17.8,20,12,3649,Mid-Missouri Energy LLC,Mid-Missouri Energy,Malta Bend,MO,Active,66.0,66.0,191400,CA/latest 71.31; corn 71.31; fiber 22.92,No clear public pipeline/CCS access in available data,False,limited public low-carbon tech flags,Kansas City,64.4,near major urban/industrial market,"66.0 MGY implies roughly 191,400 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 17.8/20 based on available corn/latest CI percentile. Technology screen: limited public low-carbon tech flags. Nearest listed market is Kansas City at about 64 miles (near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,85.2,16,25,19.2,13,12,3550,Al-Corn Clean Fuel,Al-Corn Clean Fuel,Claremont,MN,Active,130.0,130.0,377000,CA/latest 73.04; corn 73.04; fiber 26.86,No clear public pipeline/CCS access in available data,False,fiber/D3,Minneapolis / St. Paul,65.3,near major urban/industrial market,"130.0 MGY implies roughly 377,000 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 19.2/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Minneapolis / St. Paul at about 65 miles (near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,80.0,16,25,10.0,17,12,3755,Aztalan Bio LLC,Clonbio/Pannonia,Johnson Creek,WI,Active,106.0,106.0,307400,,No clear public pipeline/CCS access in available data,False,high protein,Chicago industrial corridor,99.9,near major urban/industrial market,"106.0 MGY implies roughly 307,400 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: high protein. Nearest listed market is Chicago industrial corridor at about 100 miles (near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,79.4,16,25,19.4,13,6,3607,Glacial Lakes Energy,Glacial Lakes Cooperative,Watertown,SD,Active,148.0,148.0,429200,CA/latest 73.64; corn 73.64; fiber 34.31; WA min 33.18,No clear public pipeline/CCS access in available data,False,fiber/D3,Sioux City,168.2,moderate market access,"148.0 MGY implies roughly 429,200 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 19.4/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Sioux City at about 168 miles (moderate market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,79.0,16,25,10.0,13,15,3620,Green Plains Shenandoah LLC,Green Plains,Shenandoah,IA,Active,100.0,100.0,290000,,No clear public pipeline/CCS access in available data,False,"high protein, corn oil",Omaha / Council Bluffs,44.6,very near major urban/industrial market,"100.0 MGY implies roughly 290,000 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: high protein, corn oil. Nearest listed market is Omaha / Council Bluffs at about 45 miles (very near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,79.0,12,25,10.0,20,12,3704,Show Me Ethanol,Show Me Ethanol,Carrollton,MO,Active,65.5,65.5,189950,,No clear public pipeline/CCS access in available data,False,limited public low-carbon tech flags,Kansas City,63.1,near major urban/industrial market,"65.5 MGY implies roughly 189,950 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Kansas City at about 63 miles (near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,79.0,12,25,10.0,20,12,3584,CIE Norfolk GNS LLC,Central Indiana Ethanol,Norfolk,NE,Active,60.0,60.0,174000,,No clear public pipeline/CCS access in available data,False,limited public low-carbon tech flags,Sioux City,58.1,near major urban/industrial market,"60.0 MGY implies roughly 174,000 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Sioux City at about 58 miles (near major urban/industrial market).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,77.0,20,25,10.0,16,6,3606,Glacial Lakes Energy,Glacial Lakes Cooperative,Mina,SD,Active,162.0,162.0,469800,,No clear public pipeline/CCS access in available data,False,White Fox,Sioux City,235.5,moderate market access,"162.0 MGY implies roughly 469,800 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: White Fox. Nearest listed market is Sioux City at about 235 miles (moderate market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,77.0,16,25,10.0,20,6,3645,United Energy Necadah,United Cooperative,Necedah,WI,Active,106.0,106.0,307400,,No clear public pipeline/CCS access in available data,False,limited public low-carbon tech flags,Cedar Rapids / Iowa City,160.8,moderate market access,"106.0 MGY implies roughly 307,400 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Cedar Rapids / Iowa City at about 161 miles (moderate market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
High,76.4,12,25,17.4,13,9,3631,Highwater Ethanol LLC,High Water Ethanol,Lamberton,MN,Active,72.0,72.0,208800,CA/latest 71.09; corn 71.09; fiber 25.13,No clear public pipeline/CCS access in available data,False,fiber/D3,Minneapolis / St. Paul,112.6,reasonable regional market access,"72.0 MGY implies roughly 208,800 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 17.4/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Minneapolis / St. Paul at about 113 miles (reasonable regional market access).","Large/meaningful CO2 source with no clear CCS route, average-to-weaker CI position, limited carbon tech, and/or useful market access."
